HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Excelsior,FC Emmen,2,1,47%,53%,13,11,5,4,6,8,1,0,456,505,11,9,357 (78%),398 (78%),5 (19%),4 (23%),46 (42%),35 (37%),18,14,8,7,24,25,3,2,1
Ajax,FC Heerenveen,5,0,71%,29%,20,7,1,17,4,3,3,1,750,297,17,4,687 (91%),235 (79%),7 (24%),2 (14%),36 (65%),22 (42%),18,14,14,13,10,27,1,1,5
NEC (NEC),Fortuna (Sittard),1,1,62%,38%,22,7,1,13,4,1,1,0,458,281,17,6,384 (83%),193 (68%),9 (29%),4 (28%),31 (56%),38 (37%),10,28,4,6,9,30,2,5,0
FC Volendam,Go Eagles FC Ehead,2,3,47%,53%,18,11,7,2,8,10,0,2,366,358,14,7,260 (71%),252 (70%),4 (17%),3 (18%),31 (35%),30 (35%),17,10,7,2,16,26,1,4,-1
FC Heerenveen,NEC (NEC),0,0,40%,60%,11,12,4,3,1,5,3,1,363,544,10,11,282 (77%),460 (84%),4 (26%),6 (28%),34 (39%),31 (46%),16,10,15,7,15,16,2,2,0
FC Emmen,AZ Alkmaar,0,3,53%,47%,11,15,5,1,7,1,1,1,532,474,9,11,461 (86%),410 (86%),7 (33%),4 (57%),36 (62%),30 (45%),13,13,8,13,4,16,4,2,-3
FC Waalwijk,Excelsior,5,2,60%,40%,22,10,7,0,8,3,1,1,495,328,19,9,416 (84%),247 (75%),9 (33%),6 (54%),40 (61%),27 (34%),10,24,6,13,9,19,2,4,3
Go Eagles FC Ehead,Feyenoord,3,4,36%,64%,10,23,10,11,2,2,6,12,298,522,8,19,192 (64%),418 (80%),4 (36%),11 (39%),47 (39%),26 (33%),12,18,13,4,19,11,7,2,-1
Sparta (Rotterdam),FC Volendam,4,0,55%,45%,15,18,4,3,5,11,2,1,494,382,14,13,411 (83%),305 (79%),1 (6%),4 (11%),57 (52%),24 (33%),15,24,12,9,21,18,6,5,4
Twente (Enschede),PSV (Eindhoven),2,1,44%,56%,18,13,5,5,4,6,1,2,393,509,11,12,271 (68%),402 (78%),3 (27%),4 (30%),29 (25%),23 (32%),13,16,16,11,12,19,5,3,1
Ajax,Cambuur (Leeuwarden),4,0,74%,26%,22,5,1,9,1,1,0,1,672,232,20,3,604 (89%),159 (68%),7 (26%),1 (10%),30 (65%),32 (41%),22,22,3,8,6,33,2,4,4
Fortuna (Sittard),FC Utrecht,3,4,44%,56%,16,26,11,3,6,1,1,6,372,465,9,20,276 (74%),377 (81%),6 (26%),6 (18%),38 (40%),36 (52%),12,12,9,2,17,14,5,5,-1
Excelsior,PSV (Eindhoven),1,6,44%,56%,27,10,13,2,4,3,9,0,456,573,7,20,379 (83%),502 (87%),4 (33%),4 (25%),29 (47%),31 (50%),12,20,14,13,20,12,7,3,-5
FC Volendam,Twente (Enschede),1,0,36%,64%,11,20,2,7,4,10,3,1,276,488,7,17,177 (64%),387 (79%),4 (33%),8 (27%),32 (35%),42 (53%),19,15,7,5,37,14,5,4,1
FC Utrecht,Ajax,0,2,44%,56%,10,1,3,3,4,2,3,434,434,573,3,6,330 (76%),478 (83%),7 (30%),4 (23%),28 (40%),35 (46%),13,19,17,7,23,19,2,1,-2
FC Heerenveen,Fortuna (Sittard),2,1,57%,43%,23,8,1,0,1,8,6,2,541,397,19,6,468 (86%),317 (79%),2 (8%),3 (18%),31 (58%),41 (48%),13,10,5,10,13,31,2,7,1
