HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Real Betis Balompié,Girona FC,2,1,44%,56%,3,1,1,0,2,4,2,5,429,547,6,7,364 (84%),477 (87%),3 (20%),8 (44%),27 (45%),27 (50%),19,22,12,9,18,11,2,1,1
Real Sociedad,Royal Espanyol,2,1,63%,37%,14,14,3,3,4,2,2,3,527,297,11,10,428 (81%),201 (67%),5 (38%),6 (31%),48 (47%),45 (45%),14,18,6,16,22,10,3,4,1
Villarreal CF,Sevilla FC,1,1,46%,54%,17,12,2,4,6,4,1,6,376,455,12,10,305 (81%),386 (84%),1 (4%),2 (12%),23 (47%),33 (47%),20,13,7,11,16,24,0,6,0
CA Osasuna,Getafe CF,0,2,55%,45%,12,10,5,3,8,1,1,0,456,379,7,7,369 (80%),302 (79%),4 (11%),2 (18%),33 (49%),27 (40%),12,9,3,10,15,38,2,4,-2
Athletic Bilbao,Rayo Vallecano,3,2,39%,61%,14,11,2,2,2,7,3,3,318,491,12,11,235 (73%),413 (84%),4 (33%),5 (16%),27 (38%),24 (35%),12,16,12,9,22,10,0,4,1
València CF,Celta de Vigo,3,0,65%,35%,14,3,2,5,4,2,0,3,462,239,9,4,390 (84%),161 (67%),5 (25%),3 (25%),34 (49%),22 (33%),16,20,4,9,12,19,2,4,3
FC Barcelona,Elche,3,0,77%,23%,25,10,6,0,6,0,5,3,708,213,21,1,642 (90%),143 (67%),7 (31%),1 (33%),28 (70%),29 (36%),15,14,12,12,1,19,1,6,3
RCD Mallorca,UD Almería,1,0,44%,56%,0,2,5,2,2,3,3,6,389,485,3,6,323 (83%),422 (87%),2 (13%),3 (18%),40 (45%),38 (61%),10,18,7,5,13,8,2,1,1
Real Valladolid,Cádiz CF,0,1,58%,42%,18,5,3,8,2,2,2,1,413,312,14,5,352 (85%),235 (75%),6 (18%),4 (25%),57 (73%),30 (37%),21,18,2,2,16,25,0,6,-1
Real Betis Balompié,Villarreal CF,1,0,47%,53%,16,14,5,7,9,8,4,6,376,413,12,10,322 (85%),357 (86%),5 (23%),4 (16%),21 (50%),21 (55%),16,17,11,9,25,19,2,4,1
Getafe CF,Real Sociedad,2,1,33%,67%,13,2,2,3,7,1,0,4,250,503,3,11,171 (68%),425 (84%),2 (18%),10 (38%),25 (37%),36 (56%),18,18,11,3,21,17,5,1,1
Elche,Athletic Bilbao,1,4,47%,53%,16,3,4,0,1,5,5,2,385,447,8,11,315 (81%),364 (81%),5 (23%),4 (23%),30 (50%),36 (41%),18,15,16,8,10,13,5,1,-3
