HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Pisa,Modena FC,4,2,49%,51%,16,11,1,5,2,0,5,5,369,378,13,9,302 (81%),297 (78%),6 (27%),5 (26%),43 (58%),49 (51%),12,13,11,12,17,16,1,5,2
FC Palermo,FC Cittadella,0,0,52%,48%,12,12,4,3,5,2,2,2,359,323,8,10,256 (71%),230 (71%),6 (28%),7 (43%),31 (36%),36 (38%),16,22,6,8,11,23,1,3,0
FC Ternana,Génova (Genova),1,2,33%,67%,13,19,10,3,6,0,1,4,268,528,9,14,171 (63%),440 (83%),4 (40%),3 (13%),34 (36%),29 (42%),21,23,15,18,26,16,8,4,-1
Sudtirol,FC Parma,1,0,28%,72%,16,0,3,0,8,1,0,2,239,616,4,11,137 (57%),526 (85%),0 (0%),8 (22%),22 (23%),25 (36%),23,8,7,3,34,5,4,2,1
Frosinone,FC Bari,1,0,67%,33%,22,10,9,1,10,1,5,3,535,274,19,1,454 (84%),183 (66%),5 (16%),0 (0%),49 (64%),22 (24%),12,13,4,12,4,28,1,2,1
Regina (Reggio Calabria),FC Perugia,2,3,73%,27%,28,10,14,7,2,0,1,10,486,181,15,5,410 (84%),101 (55%),8 (18%),2 (28%),44 (64%),21 (28%),11,27,4,9,9,39,4,12,-1
FC Brescia,Unione Venezia,1,1,43%,57%,10,14,1,3,7,5,0,1,365,510,7,12,242 (66%),398 (78%),3 (12%),7 (36%),36 (34%),47 (41%),16,9,8,17,19,16,2,5,0
FC Como.,FC Benevento,2,1,35%,65%,14,1,0,3,11,4,1,3,248,431,4,10,163 (65%),346 (80%),1 (16%),8 (22%),27 (33%),40 (57%),18,6,12,6,28,14,5,2,1
SPAL (Ferrara),FC Cosenza,5,0,53%,47%,1,1,2,5,4,2,4,4,443,379,7,7,392 (88%),325 (85%),2 (22%),3 (16%),36 (58%),25 (59%),16,15,7,4,9,11,1,1,5
FC Bari,Ascoli,0,2,61%,39%,16,7,1,8,3,1,1,4,410,256,12,5,339 (82%),185 (72%),7 (28%),2 (16%),15 (38%),36 (37%),10,24,9,11,9,17,0,1,-2
FC Parma,Regina (Reggio Calabria),2,0,44%,56%,12,2,4,3,2,3,5,2,347,446,5,9,263 (75%),366 (82%),2 (14%),10 (33%),29 (34%),46 (56%),16,13,10,6,18,14,2,1,2
FC Cagliari,FC Brescia,2,1,41%,59%,1,3,2,4,6,3,0,2,370,532,7,6,288 (77%),430 (80%),2 (22%),4 (19%),33 (40%),39 (45%),12,15,7,7,19,8,1,1,1
Modena FC,FC Como.,5,1,50%,50%,19,11,3,2,11,5,1,3,374,366,14,7,307 (82%),298 (81%),6 (28%),3 (14%),41 (61%),32 (47%),6,23,10,9,23,20,2,3,4
FC Cosenza,Génova (Genova),1,2,46%,54%,12,0,3,1,1,3,7,1,366,429,3,8,286 (78%),337 (78%),2 (18%),8 (42%),28 (35%),23 (27%),17,7,12,10,21,12,5,1,-1
FC Palermo,FC Pisa,3,3,40%,60%,15,11,6,2,4,3,1,2,239,367,12,8,155 (64%),292 (79%),6 (27%),5 (21%),28 (27%),31 (44%),8,13,10,10,13,22,3,1,0
FC Cittadella,SPAL (Ferrara),0,0,34%,66%,14,11,1,0,6,3,1,3,239,493,10,1,163 (68%),413 (83%),6 (23%),5 (20%),28 (41%),39 (54%),9,18,8,8,16,32,1,2,0
FC Benevento,FC Ternana,2,3,59%,41%,15,10,4,0,1,0,4,5,405,285,6,5,317 (78%),197 (69%),5 (23%),2 (18%),43 (49%),16 (25%),7,14,5,12,17,19,4,0,-1
Unione Venezia,Frosinone,1,3,53%,47%,12,17,2,3,6,7,0,2,462,379,7,12,352 (76%),275 (72%),4 (19%),11 (40%),39 (46%),29 (39%),15,12,9,16,22,19,5,2,-2
Sudtirol,FC Benevento,1,1,40%,60%,10,1,3,6,3,2,0,2,336,532,9,7,261 (77%),449 (84%),7 (30%),5 (38%),41 (45%),19 (30%),14,14,12,8,9,20,1,3,0
Regina (Reggio Calabria),FC Cosenza,3,0,52%,48%,17,4,3,4,8,1,1,0,409,369,12,5,344 (84%),298 (80%),6 (33%),5 (25%),38 (54%),26 (49%),12,16,6,12,12,20,0,4,3
